Age,Gender,Where_live,AVG_Sleep_Per_Night,Regular_Bed_time,Exam_Night_Bed_Time,Holiday_Bed_Time,Regular_WakeUp_Time,Holiday_WakeUp_Time,Have_Regular_Bed_Time,Daytime_Nap,Struggle_to_Sleep,Sleep_Condition,Electronic_Devices_Before_Bed,Consume_Caffeine_Night,Dinnar_Time,Smoke,Sleep_Affecting_Drugs,Daily_Academics_Time_Spend,Main_Reason_for_Insufficient_Sleep,Rate_Sleep_Quality,Class_Attendance,Sleepiness_During_Class,Skip_Class_for_Sleep,Focus_on_Academic_Task,Impact_of_Sleep_on_Academic,Current_CGPA5,CGPA3_Class,Aware_of_Recomamended_Sleep,Use_Sleep_Tracking_Devices,Sacrifices_Sleep_for_Academics
0.6417976023271283,0.0,1.0,0.21744645182213015,1.0,0.68,0.94,1.0,1.0,0.0,0.2788998302332391,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.21,0.0,1.0,0.6352030655315053,1.0,1.0,0.0,0.66,1.0,2,1.0,0.0,1.0
0.3333333333333333,0.0,1.0,0.2515283798765428,1.0,1.0,0.99,0.5,1.0,0.0,0.10444205060426981,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07289271129665023,0.01,0.23267026981180072,0.684005784112586,0.0,0.48,0.38,1.0,2,1.0,0.0,1.0
0.6905152102838725,1.0,0.4,0.6133795883954654,0.98,0.81,0.98,1.0,1.0,1.0,0.08219781588029645,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.02,0.6766274379069719,0.53,0.0,1.0,1.0,0.55,0.7,1.0,2,1.0,0.0,0.0
1.0,0.0,0.0,0.6876649203936331,0.69,0.02,0.95,0.3,1.0,0.0,0.0,0.0,0.96,1.0,0.0,1.0,0.0,0.0,0.04,0.4724867670624058,0.57,0.0,0.34799813546716724,1.0,0.1,0.29,1.0,2,1.0,0.0,0.0
0.34254933486471956,0.0,1.0,0.6871360324772079,0.99,1.0,1.0,0.9,1.0,0.0,0.0,0.85,0.96,1.0,0.0,0.9,0.0,0.0,0.25,0.0,1.0,0.17134385533421986,1.0,1.0,0.54,0.84,1.0,2,1.0,0.0,0.0
0.6487732049576227,0.0,0.9,0.2918178939298437,1.0,0.75,0.98,0.6,1.0,0.0,0.0,0.7,1.0,0.0,0.0,1.0,0.0,1.0,0.55,0.0,0.21,0.576062544295352,0.6104931442212795,0.0,0.0,0.02,1.0,2,1.0,0.0,1.0
0.43851678963612795,1.0,0.1,0.23231833505679683,0.88,0.84,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.4399318476552736,1.0,0.0,0.6932732523575348,0.0,0.88,0.0,1.0,2,1.0,0.0,1.0
0.6915901817216036,1.0,0.3,0.2701480153327488,1.0,0.97,0.95,0.9,1.0,0.0,0.0,0.43,0.98,0.0,0.0,0.4,0.0,0.0,0.22,0.0,0.99,0.0,1.0,1.0,0.45,0.34,1.0,2,1.0,0.0,1.0
0.3333333333333333,1.0,0.5,0.613874578533176,0.61,0.97,0.96,1.0,1.0,1.0,0.25759719533324876,0.41,1.0,1.0,0.0,0.4,0.0,0.0,0.11,0.1386944149924231,0.83,0.0,0.7858989931185247,1.0,0.03,0.79,1.0,2,1.0,0.0,1.0
0.4709362824853366,1.0,0.4,0.4302199649928484,1.0,0.97,0.99,1.0,1.0,1.0,0.34538441564571054,0.48,0.97,1.0,1.0,1.0,0.0,0.0,0.32,0.3964827417687272,1.0,0.09139594612012177,1.0,1.0,0.54,0.56,1.0,2,1.0,0.0,0.0
0.6406281047510367,1.0,0.4,0.6808666289689799,1.0,1.0,0.97,1.0,1.0,0.0,0.0,0.73,1.0,1.0,0.0,0.3,1.0,0.0,0.37,0.0,0.82,0.0,0.7269978083502163,1.0,0.44,1.0,1.0,2,1.0,0.0,1.0
0.6913051358970846,1.0,0.5,0.7215202026376416,1.0,1.0,0.97,0.9,1.0,1.0,0.7609225564405809,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.33,0.0,0.6,0.5460896704308384,0.7086041807794814,0.0,0.54,0.86,1.0,2,1.0,0.0,1.0
0.6823984230338991,1.0,0.0,0.0,0.95,0.98,0.94,1.0,1.0,1.0,0.4033293109254074,0.38,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.002535471793460642,0.06,0.6657070742674813,0.7593861211652787,1.0,0.49,0.08,1.0,2,1.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.0,1.0,0.98,1.0,1.0,0.9,0.0,0.10808241451236006,0.0,1.0,0.0,0.0,0.6,0.0,1.0,0.27,0.36974549131226697,0.8,0.7045369528064139,0.7827713681235109,0.0,0.86,0.9,1.0,2,1.0,0.0,0.0
0.6696000089399434,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5290275276136651,0.07,1.0,0.0,0.0,0.7,0.0,0.0,0.31,0.37892345156152635,0.25,0.3152833479200896,0.7145197359905773,0.0,0.51,0.1,1.0,2,1.0,0.0,1.0
0.45667148892495035,1.0,0.0,0.0,1.0,0.97,0.96,1.0,1.0,0.0,0.25318683918449714,0.41,1.0,1.0,0.0,1.0,0.0,0.0,0.1,0.0514181853739652,0.74,0.06270028129294823,0.9363650062111311,1.0,0.45,0.98,1.0,2,1.0,0.0,1.0
0.6473454488999183,0.0,0.5,0.4158137751943553,0.77,0.96,1.0,1.0,1.0,0.0,0.558792651897638,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09,0.8996483778029758,0.78,0.013556427188108268,0.0016594273520801877,1.0,0.51,0.63,1.0,2,1.0,0.0,0.0
